Jam,LINE A_Good,LINE A_Bad,LINE B_Good,LINE B_Bad,LINE C_Good,LINE C_Bad,LINE D_Good,LINE D_Bad
0,154,3,177,0,160,4,172,1
1,124,5,127,1,139,3,133,2
2,124,3,124,0,101,3,137,5
3,199,5,137,1,185,1,182,1
4,114,0,150,3,160,2,173,0
5,105,3,159,0,184,4,180,0
6,125,0,109,4,167,0,110,4
7,113,3,146,1,101,0,156,5
8,185,2,121,5,130,2,105,2
9,158,3,163,4,194,5,151,1
10,161,3,161,3,190,2,129,3
11,121,2,181,4,187,2,197,3
12,100,5,161,3,134,0,143,1
13,182,0,184,0,122,4,154,2
14,191,0,107,3,144,1,156,5
15,139,4,153,1,176,1,176,2
16,181,5,156,5,197,1,199,1
17,179,4,179,0,104,1,151,4
18,178,1,116,3,110,5,130,1
19,167,4,158,5,105,3,149,4
20,167,5,155,3,181,1,178,0
21,200,2,116,1,136,1,121,4
22,140,4,131,1,192,1,111,0
23,108,5,153,2,174,3,187,1
